Logical_Type_ID,Num_Logical_Type_ID,LT_Name
LOGDT017,2,"unknown",
LOGDT005,3,"Audio",
LogDes-7DD553FD-11E8-61FA-399D-2E531FB621D0@LOGDT10034,4,"BFile",
LOGDT027,5,"BIGINT",
LOGDT033,6,"BINARY",
LOGDT056,7,"BINARY DOUBLE",
LOGDT055,8,"BINARY FLOAT",
LOGDT034,9,"BIT",
LOGDT029,10,"BLOB",
LOGDT006,11,"Boolean",
LOGDT025,12,"CHAR",
LOGDT028,13,"CLOB",
LOGDT030,14,"DATALINK",
LOGDT007,15,"Date",
LOGDT008,16,"Datetime",
91229484-D19C-D458-8647-333C7FFE7B60,17,"DATETIME2",
LOGDT054,18,"DBURIType",
LOGDT026,19,"DECIMAL",
69230305-AB6A-99EB-35A1-CC306D543604,20,"DECFLOAT",
LOGDT020,21,"DOUBLE",
LOGDT021,22,"FLOAT",
LOGDT031,23,"GRAPHIC",
LOGDT052,24,"HTTPURIType",
LOGDT049,25,"INTERVAL DAY TO SECOND",
LOGDT048,26,"INTERVAL YEAR TO MONTH",
LOGDT010,27,"Image",
LOGDT011,28,"Integer",
LogDes-1768A872-F385-FDBA-D95E-0CB63F5908E2@LOGDT10045,29,"Long Char",
LogDes-7DD553FD-11E8-61FA-399D-2E531FB621D0@LOGDT10036,30,"Long_Raw",
LOGDT043,31,"MONEY",
LOGDT035,32,"NCHAR",
LogDes-7DD553FD-11E8-61FA-399D-2E531FB621D0@LOGDT10035,33,"NClob",
LOGDT036,34,"NTEXT",
LOGDT019,35,"NUMERIC",
LOGDT037,36,"NVARCHAR",
LogDes-4972B6D2-6F93-8AE5-6E24-3599E65A7CFE@LOGDT10005,37,"ORDAUDIO",
LogDes-4972B6D2-6F93-8AE5-6E24-3599E65A7CFE@LOGDT10009,38,"ORDDOC",
LogDes-4972B6D2-6F93-8AE5-6E24-3599E65A7CFE@LOGDT10006,39,"ORDIMAGE",
LogDes-4972B6D2-6F93-8AE5-6E24-3599E65A7CFE@LOGDT10007,40,"ORDIMAGE_SIGNATURE",
LogDes-4972B6D2-6F93-8AE5-6E24-3599E65A7CFE@LOGDT10008,41,"ORDVIDEO",
LOGDT022,42,"REAL",
LOGDT032,43,"ROWID",
LogDes-4BABEC65-108B-2A3C-F7C4-84AC47D292B0@LOGDT10040,44,"Raw",
LOGDT038,45,"SMALLDATETIME",
LOGDT018,46,"SMALLINT",
LOGDT044,47,"SMALLMONEY",
LOGDT045,48,"SQL_VARIANT",
LOGDT039,49,"SYSNAME",
LogDes-F046B719-7D91-3873-3302-38C441683842@LOGDT10010,50,"SYS_ANYDATA",
LogDes-22E251EB-9F6C-8137-56B2-DD4B87DC1E33@LOGDT10030,51,"SYS_ANYDATASET",
LogDes-F046B719-7D91-3873-3302-38C441683842@LOGDT10011,52,"SYS_ANYTYPE",
LOGDT040,53,"TEXT",
LOGDT047,54,"TIMESTAMP WITH LOCAL TIME ZONE",
LOGDT046,55,"TIMESTAMP WITH TIME ZONE",
LOGDT042,56,"TINYINT",
LOGDT014,57,"Time",
LOGDT015,58,"Timestamp",
LOGDT057,59,"UNIQUEIDENTIFIER",
LOGDT051,60,"URIType",
LogDes-4BABEC65-108B-2A3C-F7C4-84AC47D292B0@LOGDT10041,61,"URowID",
LOGDT041,62,"VARBINARY",
LOGDT024,63,"VARCHAR",
LOGDT023,64,"VARGRAPHIC",
LOGDT016,65,"Video",
LOGDT053,66,"XDBURIType",
LOGDT050,67,"XMLType",
A3A3C77D-0366-9768-FF89-1C25E56881C8,68,"String",
